characteristic1 characteristic2 annotation gender sensor1 sensor2 sensor3 sensor4 sensor5 sensor6 sensor7 sensor8 sensor9 userID sessionID sessionTime
38 0 1103 0 0.17753907 8.5902729 29.265169 3 28.41622 55.272251 0.71060717 75.384346 -0.079395726 1 2 720000
38 0 1103 0 0.19529296 11.582391 29.442623 142 28.629894 1549.1091 0.87653571 929.08496 -0.39697862 1 2 780000
38 0 1103 0 0.20416991 16.649687 29.458775 159 28.826241 1770.6166 0.88375002 957.52374 -0.39319786 1 2 840000
38 0 1103 0 0.23967773 17.470106 29.539589 158 29.023058 1608.7317 0.88375002 884.55908 -0.39319786 1 2 900000
38 0 1103 0 0.34620118 18.821384 29.636679 157 29.202394 1548.1028 0.88014287 858.09387 -0.38185561 1 2 960000
38 0 1103 0 0.55924803 20.655262 29.701473 157 29.364143 1643.6741 0.89457142 830.00665 -0.36673263 1 2 1020000
38 0 1103 0 0.74566406 22.103062 29.750107 158 29.5082 1614.4778 0.89096433 862.81598 -0.36295187 1 2 1080000
38 0 1103 0 0.94095701 20.269184 29.912449 159 29.652519 1562.7478 0.89817858 841.26575 -0.37807488 1 2 1140000
38 0 1103 0 1.0297265 20.413963 30.042582 159 29.815205 1558.109 0.90900004 834.14661 -0.36295187 1 2 1200000
38 0 1103 0 1.0386035 23.5026 30.140333 158 29.960104 1482.781 0.88375002 809.27301 -0.36673263 1 2 1260000
38 0 1103 0 1.0208496 26.494719 30.205574 160 30.105282 1525.771 0.88735718 806.02161 -0.36295187 1 2 1320000
38 0 1103 0 1.0030957 26.591238 30.303549 159 30.232544 1494.1508 0.88014287 814.39594 -0.37429413 1 2 1380000
38 0 1103 0 0.97646481 26.832539 30.450762 159 30.414726 1479.4192 0.87653571 784.14996 -0.37807488 1 2 1440000
38 0 1103 0 1.0741113 26.446459 30.663954 133 30.597364 1309.144 0.89457142 694.74658 -0.25709093 1 2 1500000
38 0 1103 0 0.91432613 29.100756 30.762571 159 30.762135 1580.0369 0.89817858 817.10297 -0.37807488 1 2 1560000
38 0 1103 0 0.85218751 30.789854 30.84486 160 30.908916 1515.7864 0.89457142 840.85742 -0.37429413 1 2 1620000
38 0 1103 0 0.79892576 32.141132 30.92725 159 31.037601 1578.3595 0.88375002 827.55676 -0.38563636 1 2 1680000
38 0 1103 0 0.76341796 32.865032 31.009741 161 31.14809 1592.2939 0.89096433 832.75146 -0.39319786 1 2 1740000
38 0 1103 0 0.72791016 35.27803 31.059282 161 31.258755 1629.7614 0.89817858 839.8139 -0.36673263 1 2 1800000
38 0 1103 0 0.71015626 33.685452 31.15848 159 31.33263 1516.1543 0.91260719 753.10626 -0.35160962 1 2 1860000
38 0 1103 0 0.76341796 32.623734 31.307552 132 31.443592 1239.2953 0.89096433 662.47034 -0.25331017 1 2 1920000
38 0 1103 0 0.71015626 34.312832 31.423733 160 31.536198 1586.7426 0.89457142 771.81335 -0.38185561 1 2 1980000
38 0 1103 0 0.6746484 34.843693 31.490213 161 31.628929 1581.5049 0.89817858 849.25824 -0.38185561 1 2 2040000
38 0 1103 0 0.63914061 38.12537 31.490213 159 31.703209 1521.951 0.88735718 785.20856 -0.37429413 1 2 2100000
38 0 1103 0 0.62138671 37.932327 31.523481 161 31.796169 1571.4193 0.90539289 781.48077 -0.37051338 1 2 2160000
38 0 1103 0 0.62138671 40.055767 31.540121 159 31.852009 1548.8098 0.89096433 829.73822 -0.38185561 1 2 2220000
38 0 1103 0 0.62138671 39.717949 31.606722 159 31.907894 1452.4305 0.87292862 816.35815 -0.39319786 1 2 2280000
38 0 1103 0 0.61250973 39.717949 31.673395 160 31.963829 1478.402 0.88014287 843.90094 -0.39697862 1 2 2340000
38 0 1103 0 0.59475583 38.704487 31.75683 160 32.001144 1497.4369 0.88014287 808.42236 -0.39697862 1 2 2400000
38 0 1103 0 0.59475583 35.808891 31.924036 160 32.057156 1502.1442 0.87653571 789.33337 -0.40454012 1 2 2460000
38 0 1103 0 0.59475583 39.331867 31.974283 160 32.094524 1572.0686 0.88735718 864.5816 -0.40075937 1 2 2520000
38 0 1103 0 0.58587891 41.117485 31.940779 160 32.150616 1440.545 0.88735718 827.14465 -0.37429413 1 2 2580000
38 0 1103 0 0.57700193 42.613544 31.940779 108 32.188038 1491.7484 0.88014287 824.24103 -0.38941711 1 2 2640000
38 0 1103 0 0.58587891 43.675262 31.924036 135 32.225483 1492.0405 0.88014287 793.91943 -0.38563636 1 2 2700000
38 0 1103 0 0.57700193 44.881763 31.924036 161 32.262947 1561.4745 0.89817858 797.79846 -0.37051338 1 2 2760000
38 0 1103 0 0.56812501 44.061344 31.940779 160 32.281685 1561.8099 0.89817858 816.02167 -0.37429413 1 2 2820000
38 0 1103 0 0.56812501 43.337444 31.991041 158 32.300434 1536.7042 0.89096433 796.97046 -0.37429413 1 2 2880000
38 0 1103 0 0.56812501 43.144405 32.058121 160 32.33794 1531.0049 0.89817858 803.28058 -0.37429413 1 2 2940000
38 0 1103 0 0.55924803 42.806583 32.09169 160 32.375469 1597.7839 0.88014287 877.36053 -0.39319786 1 2 3000000
38 0 1103 0 0.55037111 42.372246 32.158875 160 32.413021 1638.5808 0.89817858 879.92767 -0.38563636 1 2 3060000
38 0 1105 0 0.56812501 41.551826 32.209312 149 32.469391 1302.0487 0.83685714 696.58783 -0.43478611 1 2 3120000
38 0 1105 0 0.57700193 32.865032 32.479027 111 32.506996 241.90944 0.86932147 174.05055 -0.4196631 1 2 3180000
38 0 1105 0 0.55924803 33.92675 32.665161 114 32.582275 268.56982 0.75749999 250.0209 -0.48771659 1 2 3240000
38 0 1105 0 0.53261715 32.671993 32.851868 105 32.676498 174.09154 0.60239285 263.49551 -0.66919249 1 2 3300000
38 0 1105 0 0.51486325 38.07711 32.800888 109 32.770863 198.72112 0.5951786 307.63574 -0.71834224 1 2 3360000
